S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
3034710.394375 	 392837.771435 	 189789.261063 	 383324.855086 	 104249.316964 	 3342.964721 	 865.481473 	 836.269326 	 8184.499835 	 2118.937399 	 2047.418006 	 487.275693 	 0.000000 	 0.000000 	 0.000000 	 374406.655806 	 489770.300186 	 663028.598631 	 0.000000 	 2229032.583913 	 1095384.575682
3034710.394375 	 392837.771435 	 189789.261063 	 383324.855086 	 104249.316964 	 3342.964721 	 865.481473 	 836.269326 	 8184.499835 	 2118.937399 	 2047.418006 	 487.275693 	 0.000000 	 0.000000 	 0.000000 	 374406.655806 	 489770.300186 	 663028.598631 	 0.000000 	 79063.427570 	 30400.945564
3020551.956242 	 395537.725743 	 191257.063255 	 386557.556686 	 104005.983314 	 3270.202924 	 836.454377 	 800.524339 	 8186.778560 	 2119.195361 	 2047.417004 	 482.834856 	 1.888454 	 1.153997 	 17.847856 	 372822.077712 	 493588.060509 	 667915.278812 	 0.000000 	 79063.427570 	 30400.945564
3006394.564310 	 398238.965292 	 192724.824389 	 389789.493924 	 103761.294822 	 3200.716954 	 808.910322 	 766.562398 	 8185.490196 	 2118.048916 	 2045.691472 	 478.540262 	 3.714590 	 2.269667 	 35.672893 	 371236.760196 	 497405.156912 	 672803.322483 	 0.000000 	 79063.427570 	 30400.945564
2992238.245663 	 400941.466757 	 194192.546026 	 393020.667452 	 103515.278887 	 3134.320016 	 782.773003 	 734.295021 	 8180.862855 	 2115.597379 	 2042.361609 	 474.382254 	 5.479246 	 3.347329 	 53.471068 	 369650.642289 	 501221.592354 	 677692.670791 	 0.000000 	 79063.427570 	 30400.945564
2978083.025186 	 403645.207369 	 195660.229670 	 396251.077923 	 103267.962160 	 3070.836474 	 757.970048 	 703.638106 	 8173.111164 	 2111.934417 	 2037.540963 	 470.351804 	 7.183315 	 4.387356 	 71.238516 	 368063.666991 	 505037.370743 	 682583.267795 	 0.000000 	 79063.427570 	 30400.945564
2963928.849885 	 406350.154506 	 197127.871724 	 399480.715785 	 103019.367925 	 3010.187122 	 734.445822 	 674.516756 	 8162.437176 	 2107.148368 	 2031.336781 	 466.440472 	 8.827744 	 5.390174 	 88.971543 	 366475.781032 	 508852.496863 	 687475.060322 	 0.000000 	 79063.427570 	 30400.945564
2949774.380519 	 409056.097648 	 198595.382058 	 402709.399596 	 102769.474448 	 2953.715722 	 712.363279 	 646.943390 	 8149.076816 	 2101.329469 	 2023.853021 	 462.640394 	 10.413529 	 6.356251 	 106.666640 	 364886.934512 	 512666.974851 	 692367.997855 	 0.000000 	 79063.427570 	 30400.945564
2935621.080907 	 411763.211540 	 200062.857123 	 405937.325515 	 102518.356737 	 2899.603545 	 691.408306 	 620.748257 	 8133.242476 	 2094.561366 	 2015.187284 	 458.944301 	 11.941709 	 7.286100 	 124.320518 	 363297.081860 	 516480.810018 	 697262.032438 	 0.000001 	 79063.427570 	 30400.945564
2921468.967858 	 414471.475417 	 201530.298169 	 409164.494105 	 102266.038644 	 2847.718233 	 671.522983 	 595.862969 	 8115.096613 	 2086.917223 	 2005.429489 	 455.345413 	 13.413360 	 8.180267 	 141.930047 	 361706.181087 	 520294.009622 	 702157.118503 	 0.000001 	 79063.427570 	 30400.945564
